"Enrollment date","Date of Birth","Passport id","email","Student.ID","Student.First Name","Student.Last Name","Seniortiy Description","Major="
"2012-OCT-10","08/08/94","F193I898722","RefatNatali@sk.edu.pl","O69K36F35N","Refat","Natali","Freshman","Civil Engineering"
"2012-OCT-24","14/06/94","G213H6876","AriannaKim@sk.edu.pl","S67Y79P97N","Arianna","Kim","Sophmore","Civil Engineering"
"2014-OCT-7","03/05/93","E122C7613","IngeBego@sk.edu.pl","N95Q83K66L","Inge","Bego","Senior","Chemical Engineering"
"2014-OCT-25","27/11/95","E236I5047","AlushBauyrzhan@sk.edu.pl","F23F98R36E","Alush","Bauyrzhan","Sophmore","Computer Science"
"2013-OCT-2","28/12/93","I119I9824","Luo+PingPalbo@sk.edu.pl","X84A95B48H","Luo+Ping","Palbo","Sophmore","Civil Engineering"
"2013-OCT-27","06/01/93","I206A9659","DangHansine@sk.edu.pl","B88W98U98H","Dang","Hansine","Freshman","Mechanical Engineering"
"2014-OCT-10","07/05/94","A114C7641","SanaaShu+Zhe@sk.edu.pl","N11E77H23W","Sanaa","Shu+Zhe","Freshman","Mechanical Engineering"
"2014-OCT-21","27/01/95","E300H7502","PrimianoPatricio@sk.edu.pl","T99V54P45S","Primiano","Patricio","Senior","Biology"
"2014-OCT-11","19/12/93","G219F9309","EskarneOzren@sk.edu.pl","L76U91Q56O","Eskarne","Ozren","Freshman","Biology"
"2014-OCT-24","16/07/94","C195F5934","FriedlindSnævar@sk.edu.pl","N95K98P24K","Friedlind","Snævar","Sophmore","Environmental Science"
"2012-OCT-9","26/10/93","F242E6691","SilvieKalo@sk.edu.pl","L39J89K80A","Silvie","Kalo","Freshman","Mathematics"
"2013-OCT-9","06/02/94","D195D9493","Chuan+YuImpress@sk.edu.pl","U30F35G12E","Chuan+Yu","Impress","Sophmore","Mechanical Engineering"
"2014-OCT-3","07/02/94","A286D8586","BoykaTed@sk.edu.pl","O81P95Z33D","Boyka","Ted","Freshman","Computer Science"
"2013-OCT-13","05/04/95","G226B9008","Mei+ChiMing+Qiang@sk.edu.pl","O44Y33W72F","Mei+Chi","Ming+Qiang","Freshman","Chemical Engineering"
"2013-OCT-16","20/10/93","G158I8053","LaciAlastair@sk.edu.pl","L75Y10U21O","Laci","Alastair","Senior","Mathematics"
"2014-OCT-4","16/08/95","D172B8726","FolmineTei@sk.edu.pl","N41U97V40B","Folmine","Tei","Freshman","Physics"
"2012-OCT-5","25/07/95","D292E6677","HeijeTian+Bao@sk.edu.pl","A88D98J23Z","Heije","Tian+Bao","Freshman","Civil Engineering"
"2014-OCT-23","10/06/93","B107F9561","JocelinTeo@sk.edu.pl","X15R75W15M","Jocelin","Teo","Sophmore","Civil Engineering"
"2014-OCT-7","27/10/94","D142I7007","AdolpheBoriss@sk.edu.pl","A32J48B87E","Adolphe","Boriss","Senior","Chemical Engineering"
"2013-OCT-17","23/03/95","C125F7640","AmitavaQuang@sk.edu.pl","G22T75G72T","Amitava","Quang","Sophmore","Biology"
"2012-OCT-2","01/11/93","H203E7861","Kun+LinRandi@sk.edu.pl","X66T37Y38A","Kun+Lin","Randi","Freshman","Physics"
"2012-OCT-22","16/08/93","E198F5067","MakhmudSimbad@sk.edu.pl","S11F12B48D","Makhmud","Simbad","Sophmore","Physics"
"2014 | OCTOBER | 4","17/08/93","I229G8627","IhnoEkke@sk.edu.pl","H52N33P76Z","Ihno","Ekke","Freshman","Physics"
"2012 | OCTOBER | 25","16/07/95","D161I6944","Ai+WeiMusli@sk.edu.pl","Y64Z79C83L","Ai+Wei","Musli","Senior","Civil Engineering"
"2015 | OCTOBER | 3","20/03/93","E168A8556","ChristwardDorel@sk.edu.pl","C59Q96J74F","Christward","Dorel","Senior","Mechanical Engineering"
"2015 | OCTOBER | 24","15/10/94","G237G5382","EwardSmaragda@sk.edu.pl","C62O81D11Y","Eward","Smaragda","Freshman","Computer Science"
"2012 | OCTOBER | 10","19/10/95","B245H5168","RowdyJin+Cun@sk.edu.pl","N80M43W32B","Rowdy","Jin+Cun","Freshman","Chemical Engineering"
"2015 | OCTOBER | 21","03/07/93","G222G8347","MarileeNoemi@sk.edu.pl","S85H92U16R","Marilee","Noemi","Sophmore","Biochemistry"
"2014 | OCTOBER | 4","27/12/94","C277F5942","LupitaRui+Chun@sk.edu.pl","M61K98C62H","Lupita","Rui+Chun","Freshman","Biology"
"2013 | OCTOBER | 11","25/11/94","F296I6318","SibeAlptu@sk.edu.pl","V97J99X31P","Sibe","Alptu","Sophmore","Mathematics"
"2013 | OCTOBER | 20","15/01/95","A165E9973","DanielleFawzi@sk.edu.pl","Y68K44O33E","Danielle","Fawzi","Freshman","Environmental Science"
