"Passport id","Field exam score","Student.ID"
"F193I8987_x",12,"O69K36F35N"
"G213H6876",65,"<NA>"
"E122C7613",66,"N95Q83K66L"
"E236I5047",79,"F23F98R36E"
"I119I9824",94,
"I206A9659",60,"B88W98U98H"
,29,"N11E77H23W"
"E300H7502",63,"T99V54P45S"
"G219F9309",5,"L76U91Q56O"
"C195F5934",80,"N95K98P24K"
,,"L39J89K80A"
"D195D9493",24,
,,"O81P95Z33D"
,,"O44Y33W72F"
"G158I8053",89,"L75Y10U21O"
"Expired passport",21,"N41U97V40B"
"D292E6677",84,"A88D98J23Z"
"B107F9561",24,"X15R75W15M"
"D142I7007",48,
"C125F7640",46,"G22T75G72T"
"H203E7861",43,"X66T37Y38A"
"E198F5067",95,"S11F12B48D"
"I229G8627",78,"H52N33P76Z"
"D161I6944",10,
"E168A8556",68,"C59Q96J74F"
"<N/A>",19,"C62O81D11Y"
"B245H5168",90,"N80M43W32B"
"G222G8347",76,
"Expired passport",68,"M61K98C62H"
"F296I6318",31,"V97J99X31P"
,13,"G49U46T66D"
"F188G6883",95,"E34U91R39W"
"B207I9427",21,"A38U71K78K"
"A158E6453",35,
"G236C7367",77,"N46D16J18G"
"G240A8482",18,"Z75S49G13B"
"H268D7080",91,
"F234E8194",24,"K71W26G93K"
"E136A5306",13,"T59B12O88F"
"C240H8031",52,"Q18O55Q96V"
"I193G8321",46,"Y86O13W75T"
"C259B9895",94,"X25F16F10D"
"C140A6549",15,
"F291D7684",77,"E39H97B79U"
"C248B6905",15,"Z19Q55R87P"
"E222C5387",25,"C41L29D24E"
"A203C8503",62,"R74V21Y94X"
"D282H5926",53,"D80G71U81E"
"A181A7261",87,"T73K40M57H"
"A107E7669",79,
,39,"C55S29L24Z"
"H258I5775",73,"X80M28O77L"
"H207F8884",56,"S72O94F66J"
"C202C5654",38,"Y94W38N25J"
"H214E7302",91,"A30W79B50M"
"E194D7104",8,"P58R19S32U"
"D288G5298",100,"M19B87Z20V"
"F212E6749",9,"Z84Y31Z35Q"
"I113A7725",73,
"B105I7772",27,"U96B32G10C"
"F237I6757",23,"J85O89G46H"
"H238H6612",69,"F29F90D95Y"
"H227I5821",14,"P42Z82R30J"
"B294H5722",74,"L13K89E13M"
"C233B7199",72,"O43D42W31Y"
"H292E6722",64,"Z97G71Y84S"
"E175A7258",84,
,10,"E24X91N73C"
"C236F6011",88,"F24U56Y56Y"
"G138E8700",42,"S34B64X40R"
"H144H6224",30,"Q22Z40C47T"
"D182D6438",58,"C12H55W58M"
"Expired passport",75,"A23J68Q95Z"
"A116A5949",72,"E99W73Y46N"
"D114D5052",97,
"G194I7411",91,"G38B13O78Q"
"B103D5597",36,"K87X34O34F"
"H252B7358",13,"V95B90D13H"
"I178D9035",40,"N48U80S91K"
"A135H7268",57,"W83C28W43D"
"I224H7974",39,
"Expired passport",42,"Y49Y11T74M"
"D144I7429",48,"Z24D47P30W"
"D230D9202",93,"E26O94Y41U"
"C134B8514",81,"F74B39J14J"
"E277A9345",8,"U43X69O71Q"
"B165I8646",64,"A26D49U61M"
,33,"P33F76U19D"
"C250I7739",94,"T79Z89V20O"
"I148F8499",38,
"I161H6029",58,"V42V13R33C"
"Expired passport",11,"A40E12X76K"
"H104H6344",14,"F96U81D87W"
"I212A5244",67,"G16E29S55N"
"C161A7431",88,"D34Q23Q41L"
