"Enrollment date","Date of Birth","Passport id","email","Student.ID","Student.First Name","Student.Last Name","Address – lat ","Address ! Long","Morale %",,,,"student GPA ( letter )","Field exam score","Tution fee ","Cafetria comments","Seniortiy Description","Major=","Major!","Blood type","Gender","Organ Donor","Blood Donor"
"2012-OCT-10","08/08/94","F193I898722","RefatNatali@sk.edu.pl","O69K36F35N","Refat","Natali",-17.0598806386292,-163.439330411774,0.487974594982984,,,,"B+",12,"550 USD","Tasty burgers, fries, perfect drinks.","Freshman","Civil Engineering","Civil Engineering","O+","Female","FALSE",1
"2012-OCT-24","14/06/94","G213H6876","AriannaKim@sk.edu.pl","S67Y79P97N","Arianna","Kim",-64.6394316015894,-144.510616721572,0.381394198530864,,,,"A+",65,"780 USD","Pizza's great, salad's fresh.","Sophmore","Civil Engineering","Civil Engineering","A-","Male","FALSE",1
"2014-OCT-7","03/05/93","E122C7613","IngeBego@sk.edu.pl","N95Q83K66L","Inge","Bego",74.6673998463718,-153.603079327797,0.08600230527999,,,,"B-",66,"1879 USD","Love today's pasta, simply delicious.","Senior","Chemical Engineering","Chemical Engineering","O+","Female","TRUE",0
"2014-OCT-25","27/11/95","E236I5047","AlushBauyrzhan@sk.edu.pl","F23F98R36E","Alush","Bauyrzhan",11.7197561806908,-168.9056577259,0.555353634051242,,,,"A+",79,"1215 USD","Burritos rocked, nachos were cheesy.","Sophmore","Computer Science","Computer Science","A+","Male","TRUE",1
"2013-OCT-2","28/12/93","I119I9824","Luo+PingPalbo@sk.edu.pl","X84A95B48H","Luo+Ping","Palbo",22.4912955838286,-125.371829311991,0.725591717448552,,,,"C",94,"522 USD","Sushi rolls, yum, I'm stuffed!","Sophmore","Civil Engineering","Civil Engineering","O-","Male","TRUE",1
"2013-OCT-27","06/01/93","I206A9659","DangHansine@sk.edu.pl","B88W98U98H","Dang","Hansine",-82.2014843344142,-125.236927627926,0.970295881142556,,,,"A+",60,"554 USD","Soup's warm, bread's soft, satisfying.","Freshman","Mechanical Engineering","Mechanical Engineering","AB+","Male","TRUE",1
"2014-OCT-10","07/05/94","A114C7641","SanaaShu+Zhe@sk.edu.pl","N11E77H23W","Sanaa","Shu+Zhe",-73.6919528706905,-42.3068393956022,0.191896275210808,,,,"C",29,"1708 USD","Sandwiches hit the spot, thanks.","Freshman","Mechanical Engineering","Mechanical Engineering","O+","Female","TRUE",1
"2014-OCT-21","27/01/95","E300H7502","PrimianoPatricio@sk.edu.pl","T99V54P45S","Primiano","Patricio",21.7185810983822,-147.122075187951,0.704874954303538,,,,"C+",63,"1657 USD","Desserts divine, sweet tooth satisfied.","Senior","Biology","Biology","AB-","Male","FALSE",0
"2014-OCT-11","19/12/93","G219F9309","EskarneOzren@sk.edu.pl","L76U91Q56O","Eskarne","Ozren",74.3634024377739,-75.2872001351891,0.91018044338162,,,,"A+",5,"1706 USD","Rice bowls, veggies, flavors blended.","Freshman","Biology","Biology","A-","Male","FALSE",1
"2014-OCT-24","16/07/94","C195F5934","FriedlindSnævar@sk.edu.pl","N95K98P24K","Friedlind","Snævar",57.4346513567269,-34.9923285074964,0.544880278252725,,,,"B",80,"0USD","Grilled cheese, tomato soup, classic.","Sophmore","Environmental Science","Environmental Science","AB-","Male","TRUE",1
"2012-OCT-9","26/10/93","F242E6691","SilvieKalo@sk.edu.pl","L39J89K80A","Silvie","Kalo",-0.877000393913022,159.490902601902,0.672937632565034,,,,"B+",59,"1070 USD","Wraps were awesome, chips crunchy.","Freshman","Mathematics","Mathematics","A+","Female","TRUE",1
"2013-OCT-9","06/02/94","D195D9493","Chuan+YuImpress@sk.edu.pl","U30F35G12E","Chuan+Yu","Impress",33.7006955239595,-88.46098663979,0.238167914445798,,,,"C+",24,"640 USD","Smoothies refreshing, fruit flavors burst.","Sophmore","Mechanical Engineering","Mechanical Engineering","A-","Male","FALSE",1
"2014-OCT-3","07/02/94","A286D8586","BoykaTed@sk.edu.pl","O81P95Z33D","Boyka","Ted",,,0.35051378877122,,,,"C+",2,,"Cookies soft, milk cold, perfect.","Freshman","Computer Science","Computer Science","AB+","Female","FALSE",0
"2013-OCT-13","05/04/95","G226B9008","Mei+ChiMing+Qiang@sk.edu.pl","O44Y33W72F","Mei+Chi","Ming+Qiang",-56.5700853395211,-40.2041313044514,0.031059108781937,,,,"C+",49,"1242 USD",1234,"Freshman","Chemical Engineering","Chemical Engineering","O-","Male","FALSE",0
"2013-OCT-16","20/10/93","G158I8053","LaciAlastair@sk.edu.pl","L75Y10U21O","Laci","Alastair",-57.0276433463922,-72.7592817864801,0.527769134099299,,,,"B",89,"1020 USD","Crispy chicken, fries golden, perfection.","Senior","Mathematics","Mathematics","A+","Female","FALSE",0
"2014-OCT-4","16/08/95","D172B8726","FolmineTei@sk.edu.pl","N41U97V40B","Folmine","Tei",-86.3800807488417,-47.7741579888913,0.196890619486219,,,,"A+",21,"1643 USD","Love the pasta, sauce rich.","Freshman","Physics","Physics","A-","Male","FALSE",1
"2012-OCT-5","25/07/95","D292E6677","HeijeTian+Bao@sk.edu.pl","A88D98J23Z","Heije","Tian+Bao",6.85170057539743,162.238458418591,0.562209693839961,,,,"A-",84,,"Salads crisp, dressings tasty, healthy.","Freshman","Civil Engineering","Civil Engineering","B+","Male","FALSE",0
"2014-OCT-23","10/06/93","B107F9561","JocelinTeo@sk.edu.pl","X15R75W15M","Jocelin","Teo",47.9895035631705,82.0095015904562,0.299491866260691,,,,"B-",24,"855 USD","Today's specials rocked, great job.","Sophmore","Civil Engineering","Civil Engineering","B-","Male","FALSE",0
"2014-OCT-7","27/10/94","D142I7007","AdolpheBoriss@sk.edu.pl","A32J48B87E","Adolphe","Boriss",5.01469878291367,-160.245846196935,0.577495708067169,,,,"A+",48,"1041 USD","Tacos tasty, salsa's fresh, satisfying.","Senior","Chemical Engineering","Chemical Engineering","O+","Male","FALSE",0
"2013-OCT-17","23/03/95","C125F7640","AmitavaQuang@sk.edu.pl","G22T75G72T","Amitava","Quang",33.31034518639,-15.7627509238419,0.648429994104239,,,,"C-",46,"1156 USD","Bagels warm, cream cheese smooth.","Sophmore","Biology","Biology","AB+","Male","FALSE",1
"2012-OCT-2","01/11/93","H203E7861","Kun+LinRandi@sk.edu.pl","X66T37Y38A","Kun+Lin","Randi",41.7882035853199,79.934558955129,0.751363783104882,,,,"A+",43,"1454 USD","Scones fresh, coffee hot, perfect.","Freshman","Physics","Physics","A+","Male","TRUE",1
"2012-OCT-22","16/08/93","E198F5067","MakhmudSimbad@sk.edu.pl","S11F12B48D","Makhmud","Simbad",-12.9016288495795,101.678169327699,0.96006705565211,,,,"A+",95,"1459 USD","Omelets fluffy, toast crunchy, delicious.","Sophmore","Physics","Physics","O+","Female","FALSE",1
"2014 | OCTOBER | 4","17/08/93","I229G8627","IhnoEkke@sk.edu.pl","H52N33P76Z","Ihno","Ekke",81.0528192387141,86.5557445463461,0.291140704819187,,,,"C+",78,"658 USD",,"Freshman","Physics","Physics","AB-","Male","FALSE",1
"2012 | OCTOBER | 25","16/07/95","D161I6944","Ai+WeiMusli@sk.edu.pl","Y64Z79C83L","Ai+Wei","Musli",-85.9720890209745,20.4289422151104,0.509224898651268,,,,"B-",10,"1045 USD","Smoothie bowls, toppings fresh, delightful.","Senior","Civil Engineering","Civil Engineering","A+","Male","FALSE",1
"2015 | OCTOBER | 3","20/03/93","E168A8556","ChristwardDorel@sk.edu.pl","C59Q96J74F","Christward","Dorel",-63.9627670765375,-135.032329099797,0.642981731283593,,,,"C-",68,"681 USD","Quesadillas cheesy, guac's creamy, yum!","Senior","Mechanical Engineering","Mechanical Engineering","A-","Female","TRUE",0
