"Date of Birth","Passport id","Student.First Name","Student.Last Name","Blood type","Gender","Organ Donor","Blood Donor"
"08/08/94","F193I898722","Refat","Natali","O+","Female","FALSE",1
"14/06/94","G213H6876","Arianna","Kim","A-","Male","FALSE",1
"03/05/93","E122C7613","Inge","Bego","O+","Female","TRUE",0
"27/11/95","E236I5047","Alush","Bauyrzhan","A+","Male","TRUE",1
"28/12/93","I119I9824","Luo+Ping","Palbo","O-","Male","TRUE",1
"06/01/93","I206A9659","Dang","Hansine","AB+","Male","TRUE",1
"07/05/94","A114C7641","Sanaa","Shu+Zhe","O+","Female","TRUE",1
"27/01/95","E300H7502","Primiano","Patricio","AB-","Male","FALSE",0
"19/12/93","G219F9309","Eskarne","Ozren","A-","Male","FALSE",1
"16/07/94","C195F5934","Friedlind","Snævar","AB-","Male","TRUE",1
"26/10/93","F242E6691","Silvie","Kalo","A+","Female","TRUE",1
"06/02/94","D195D9493","Chuan+Yu","Impress","A-","Male","FALSE",1
"07/02/94","A286D8586","Boyka","Ted","AB+","Female","FALSE",0
"05/04/95","G226B9008","Mei+Chi","Ming+Qiang","O-","Male","FALSE",0
"20/10/93","G158I8053","Laci","Alastair","A+","Female","FALSE",0
"16/08/95","D172B8726","Folmine","Tei","A-","Male","FALSE",1
"25/07/95","D292E6677","Heije","Tian+Bao","B+","Male","FALSE",0
"10/06/93","B107F9561","Jocelin","Teo","B-","Male","FALSE",0
"27/10/94","D142I7007","Adolphe","Boriss","O+","Male","FALSE",0
"23/03/95","C125F7640","Amitava","Quang","AB+","Male","FALSE",1
"01/11/93","H203E7861","Kun+Lin","Randi","A+","Male","TRUE",1
"16/08/93","E198F5067","Makhmud","Simbad","O+","Female","FALSE",1
"17/08/93","I229G8627","Ihno","Ekke","AB-","Male","FALSE",1
"16/07/95","D161I6944","Ai+Wei","Musli","A+","Male","FALSE",1
"20/03/93","E168A8556","Christward","Dorel","A-","Female","TRUE",0
"15/10/94","G237G5382","Eward","Smaragda","A-","Female","FALSE",1
"19/10/95","B245H5168","Rowdy","Jin+Cun","A-","Female","FALSE",0
"03/07/93","G222G8347","Marilee","Noemi","AB-","Male","TRUE",1
"27/12/94","C277F5942","Lupita","Rui+Chun","O-","Female","FALSE",1
"25/11/94","F296I6318","Sibe","Alptu","O-","Female","FALSE",1
"15/01/95","A165E9973","Danielle","Fawzi","B-","Male","TRUE",1
"02/01/93","G123C6077","Stefanino","Chedva","AB+","Male","TRUE",1
"13/09/94","F202B6991","Elmars","Nidaa","AB-","Male","FALSE",1
"01/04/94","D174I8785","Carmena","Hew","A+","Female","FALSE",1
"28/09/94","F188G6883","Mitit","Friedo","A+","Male","TRUE",1
"09/06/95","B207I9427","Lene","Kam Ming","O+","Female","TRUE",1
"06/05/93","A158E6453","Bengüsu","Maral","O-","Male","TRUE",0
"24/04/93","G236C7367","Henriane","Magomed","AB-","Female","FALSE",0
"18/03/94","G240A8482","Nadhim","Florenzo","O-","Female","FALSE",0
"09/06/93","H268D7080","Su+Chen","Elve","O+","Male","TRUE",1
"05/06/94","F234E8194","Gocha","Neliha","B+","Female","FALSE",1
"24/08/93","E136A5306","Bardha","Sivananthan","A-","Female","FALSE",1
"15/10/94","C240H8031","Aldi","Katrina","O-","Female","FALSE",0
"24/03/94","I193G8321","Reelika","Aljoscha","A+","Female","FALSE",1
"27/06/94","C259B9895","Alya","Gert","O+","Female","TRUE",1
"08/10/94","C140A6549","Engelberta","Artan","AB-","Female","TRUE",1
"19/09/95","F291D7684","Kyung+Ja","Ritsa","AB-","Female","TRUE",0
"11/02/93","C248B6905","Cristóvão","Adolf","B-","Male","FALSE",0
"16/02/93","E222C5387","Maksym","Alexej","A-","Female","FALSE",1
"05/02/93","A203C8503","Mamta","Birtha","O+","Female","TRUE",0
"11/05/93","D282H5926","Qu","Franka","A-","Male","FALSE",1
"16/01/93","A181A7261","Santino","Jennita","O-","Female","FALSE",0
"11/04/93","A107E7669","Muhterem","Qing Jian","AB-","Male","FALSE",1
"13/01/93","C180A9432","Quintus","Ignaz","A-","Male","TRUE",0
"06/12/93","H258I5775","Octaviean","Sheval","AB+","Female","TRUE",1
"27/10/93","H207F8884","Biggi","Hafren","A+","Male","TRUE",1
"12/10/93","C202C5654","Dong+Hwa","Beschir","B+","Male","FALSE",1
"14/11/93","H214E7302","Alexandros","Malakeh","A+","Female","TRUE",1
"17/08/95","E194D7104","Pei+Ming","Tian+Tian","AB+","Female","TRUE",1
"15/11/93","D288G5298","Durk","Mariliza","O-","Female","TRUE",1
"03/07/93","F212E6749","Eunice","So Hwan","B-","Male","TRUE",0
"21/08/93","I113A7725","Edelmut","Bobi","O-","Female","FALSE",0
"14/05/93","B105I7772","Petja","Cesar","AB+","Male","TRUE",1
"22/01/94","F237I6757","Fachtna","Seo","AB+","Female","FALSE",0
"27/09/94","H238H6612","Fiorello","Antu","O-","Female","FALSE",1
"22/02/94","H227I5821","Trea","Silvestre","O-","Female","FALSE",1
"27/10/94","B294H5722","Arnhold","Maisy","O+","Female","FALSE",1
"27/11/93","C233B7199","Tifanie","Samira","O+","Male","TRUE",1
"04/05/94","H292E6722","Shi+Liang","Magnþóra","B-","Male","TRUE",1
"25/03/94","E175A7258","Ceca","Adama","A+","Male","FALSE",0
"23/01/93","G263C6339","Soumia","Gligorije","AB+","Female","TRUE",1
"24/12/94","C236F6011","Chien+Min","Irfan","B-","Female","FALSE",1
"08/01/95","G138E8700","Margeir","Smajo","AB+","Male","TRUE",0
"24/07/94","H144H6224","Poseidon","Stojko","A-","Female","FALSE",1
"04/11/94","D182D6438","Dico","Aty","AB-","Male","TRUE",0
"28/09/93","D176B7482","Asel","Kaden","AB-","Female","TRUE",0
"12/12/94","A116A5949","Thelma","Dan+Ling","B+","Male","FALSE",1
"26/06/95","D114D5052","Alysa","Carline","O+","Male","TRUE",0
"07/04/93","G194I7411","Leri","Halida","AB-","Male","TRUE",1
"01/11/93","B103D5597","Kati","Gerd","O-","Male","FALSE",1
"14/03/95","H252B7358","Song Yu","Redon","B+","Male","TRUE",0
"06/08/94","I178D9035","Guilain","Hlver","B+","Female","FALSE",1
"07/04/93","A135H7268","Li Xia","Alexina","A-","Male","FALSE",0
"13/07/94","I224H7974","Valdemara","Anicette","B+","Female","FALSE",1
"17/09/94","G288H6343","Tsubasa","Erbil","A+","Male","FALSE",1
"16/04/93","D144I7429","Kenan","Lina","O-","Female","FALSE",1
"14/05/95","D230D9202","Ming+Tao","Roelofke","B-","Female","TRUE",1
