"transaction_id","Student.ID","Passport id","tuition fees","semester","loan","scholarship"
1,"O69K36F35N","F193I898722",531,1,"True","False"
2,"S67Y79P97N",,689,1,"True","False"
3,"N95Q83K66L","E122C7613",944,1,"True","False"
4,"F23F98R36E","E236I5047",840,1,"True","False"
5,"X84A95B48H","I119I9824",789,1,"False","True"
6,,"I206A9659",698,1,"True","False"
7,,"A114C7641",667,1,"True","False"
8,"T99V54P45S","E300H7502",643,1,"True","False"
9,"L76U91Q56O","G219F9309",965,1,"True","False"
10,"N95K98P24K","C195F5934",849,1,"True","False"
11,"L39J89K80A","F242E6691",704,1,"True","False"
12,"U30F35G12E","D195D9493",539,1,"True","False"
13,,"A286D8586",536,1,"True","False"
14,"O44Y33W72F","G226B9008",549,1,"True","False"
15,"L75Y10U21O","G158I8053",719,1,"True","False"
16,"N41U97V40B","D172B8726",698,1,"True","False"
17,"A88D98J23Z","D292E6677",580,1,"True","False"
18,"X15R75W15M","B107F9561",849,1,"False","False"
19,"A32J48B87E","D142I7007",545,1,"True","False"
20,"G22T75G72T","C125F7640",772,1,"True","False"
21,"X66T37Y38A","H203E7861",977,1,"False","False"
22,"S11F12B48D","E198F5067",559,1,"True","False"
23,"H52N33P76Z","I229G8627",853,1,"True","False"
24,"Y64Z79C83L",,641,1,"False","True"
25,"C59Q96J74F","E168A8556",690,1,"True","False"
26,"C62O81D11Y","G237G5382",614,1,"True","False"
27,"N80M43W32B","B245H5168",621,1,"True","False"
28,,"G222G8347",909,1,"True","False"
29,"M61K98C62H","C277F5942",600,1,"True","False"
30,"V97J99X31P","F296I6318",691,1,"True","False"
31,"Y68K44O33E","A165E9973",540,1,"False","True"
32,"T23W58G70E","G123C6077",857,1,"True","False"
33,"K50V21E10E","F202B6991",684,1,"True","False"
34,"G49U46T66D","D174I8785",527,1,"True","False"
35,,"F188G6883",546,1,"True","False"
36,"A38U71K78K","B207I9427",530,1,"True","False"
37,"K33F51P59O","A158E6453",592,1,"True","False"
38,"N46D16J18G","G236C7367",698,1,"True","False"
39,"Z75S49G13B","G240A8482",883,1,"False","False"
40,"K42B47E15J","H268D7080",801,1,"True","False"
41,"K71W26G93K","F234E8194",895,1,"True","False"
42,"T59B12O88F","E136A5306",746,1,"True","False"
43,"Q18O55Q96V","C240H8031",813,1,"True","False"
44,,"I193G8321",912,1,"True","False"
45,"X25F16F10D","C259B9895",951,1,"False","False"
46,"L69B86K78X","C140A6549",922,1,"True","False"
47,"E39H97B79U","F291D7684",505,1,"True","False"
48,"Z19Q55R87P","C248B6905",804,1,"False","False"
49,"C41L29D24E","E222C5387",538,1,"True","False"
50,"R74V21Y94X","A203C8503",559,1,"True","False"
51,"D80G71U81E","D282H5926",695,1,"True","False"
52,"T73K40M57H","A181A7261",955,1,"True","False"
53,"H81O65A56M",,890,1,"True","False"
54,"C55S29L24Z",,584,1,"True","False"
55,"X80M28O77L","H258I5775",721,1,"False","False"
56,"S72O94F66J","H207F8884",932,1,"True","False"
57,"Y94W38N25J","C202C5654",567,1,"False","False"
